,Player,Player ID,Team ID,Team Abbrev,GP,MIN,Height (in),Weight (lbs),Player Postion,Advanced ASTpercent,Advanced OREBpercent,Advanced DREBpercent,Advanced REBpercent,Advanced TSpercent,Advanced USGpercent,Advanced PACE,Advanced PIE,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT,spotupoffense Poss,spotupoffense PPP,touches Time_OfPoss,touches Avg_Sec_PerTouch,touches Avg_Drib_PerTouch,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss,ISO Percentile,ISO Poss,ISO PPP,ISO FG PCT,Passing ASTPTS Created,Passing percent ASTtoPassADJ,TransitionOffensive Poss,TransitionOffensive PPP,PickNRollMan Percentile,PickNRollMan Poss,PickNRollMan PPP,postupdefense Poss,postupdefense PPP,Postupoffense Poss,Postupoffense PPP,putbacksoffense Poss,putbacksoffense PPP,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT,Defense STLpercent,Defense BLKpercent,Defense WinShares
100,Josh Okogie,1629006.0,1610612750.0,MIN,62.0,25.0,76.0,213.0,Guard,9.2,5.0,11.9,8.3,53.8,15.6,105.51,7.2,0.5,22.5,14.3,29.3,17.7,47.7,58.5,93.9,66.9,50.8,36.5,46.7,61.7,60.0,66.7,64.60000000000001,40.0,47.099999999999994,17.4,27.800000000000004,38.7,0.0,22.0,3.5,0.92,1.1,2.25,1.54,42.5,0.846,41.3,8.1,16.900000000000002,6.6000000000000005,99.6,10.6,1.524,57.9,470.0,6.3,2.2,0.97,32.2,7.7,1.0,0.3,0.59,0.0,0.0,0.6,1.06,62.7,61.8,45.2,47.199999999999996,38.2,41.6,36.7,25.0,33.300000000000004,0.0,22.7,16.0,5.800000000000001
101,Kendrick Nunn,1629134.0,1610612748.0,MIA,67.0,29.3,74.0,190.0,Guard,18.7,1.0,7.9,4.5,52.9,23.4,98.88,8.6,16.6,38.0,11.8,8.1,16.0,37.3,37.0,76.8,49.7,34.8,33.6,41.9,58.3,0.0,53.300000000000004,53.800000000000004,25.5,31.8,47.4,22.6,36.7,0.0,32.0,3.0,0.94,3.5,4.11,3.67,20.8,0.781,38.5,8.200000000000001,11.600000000000001,7.5,32.4,4.5,0.78,35.099999999999994,170.0,5.4,2.5,1.06,28.7,8.0,0.96,0.3,0.88,0.0,0.0,0.0,0.0,59.4,60.6,35.699999999999996,36.1,40.0,32.1,30.8,30.8,25.0,0.0,18.2,9.0,8.4
102,Kris Dunn,1627739.0,1610612741.0,CHI,51.0,24.9,75.0,205.0,Guard,19.8,1.7,13.2,7.3,51.0,14.5,101.63,8.2,1.6,23.3,22.8,10.7,29.2,64.3,42.3,96.6,52.6,44.5,38.7,37.5,42.9,50.0,75.0,44.1,43.1,42.6,38.9,43.5,34.300000000000004,0.0,40.699999999999996,2.6,0.99,2.6,3.43,2.78,49.0,0.904,42.6,4.0,16.0,4.0,11.3,4.2,0.604,24.4,980.0000000000001,11.3,1.8,1.06,72.39999999999999,6.5,1.216,0.7,1.12,0.0,0.0,0.0,0.0,74.0,64.8,43.5,41.4,40.9,38.6,36.199999999999996,31.6,33.300000000000004,0.0,34.1,16.0,11.3
103,LeBron James,2544.0,1610612747.0,LAL,67.0,34.6,81.0,250.0,Forward,47.9,2.9,18.7,11.0,56.9,30.8,101.26,19.2,8.9,25.7,19.4,14.8,17.6,50.5,25.9,48.6,30.9,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,1.6,1.08,7.4,4.78,3.79,19.0,0.691,35.199999999999996,9.9,16.7,8.6,30.8,9.1,0.775,35.3,50.0,13.3,5.2,1.12,68.7,4.6,1.184,0.3,0.43,2.5,0.92,0.7,1.51,0.0,80.0,25.0,0.0,0.0,28.599999999999998,16.7,0.0,0.0,0.0,19.1,10.6,15.4
104,Maurice Harkless,203090.0,1610612752.0,NYK,62.0,23.0,79.0,220.0,Forward-Guard,5.7,4.0,12.0,8.2,57.5,10.1,103.9,6.0,2.2,29.0,17.9,8.6,13.6,60.2,64.4,96.3,71.9,33.300000000000004,44.4,0.0,66.7,0.0,100.0,65.60000000000001,40.0,0.0,60.0,37.5,40.0,0.0,46.2,1.9,1.05,0.7,1.84,0.92,12.9,1.11,42.3,12.0,11.0,9.0,67.2,6.0,0.938,38.5,120.0,8.9,0.9,1.04,37.8,5.8999999999999995,1.023,0.5,1.13,0.2,1.0,0.5,0.81,41.4,51.5,27.6,42.9,40.8,24.5,35.4,0.0,0.0,0.0,25.8,20.0,7.3
105,Mitchell Robinson,1629011.0,1610612752.0,NYK,61.0,23.2,84.0,240.0,Center-Forward,3.7,11.4,15.9,13.6,71.9,12.7,100.8,12.3,0.4,0.0,4.3,14.5,13.0,85.0,68.0,0.0,68.0,43.1,41.9,38.6,62.5,0.0,58.3,59.699999999999996,30.0,36.1,47.4,63.2,41.3,0.0,55.300000000000004,0.0,0.0,0.6,1.3,0.23,27.900000000000002,0.957,45.2,6.9,13.8,6.0,20.599999999999998,6.1,0.698,37.5,440.00000000000006,7.9,0.6,1.5,20.3,27.400000000000002,0.9,0.9,1.06,0.0,0.0,2.5,1.16,62.7,62.3,46.400000000000006,45.1,43.1,40.6,37.8,36.4,0.0,10.0,23.599999999999998,62.6,6.800000000000001
106,Rudy Gay,200752.0,1610612759.0,SAS,67.0,21.8,80.0,250.0,Forward-Guard,11.9,3.8,19.6,11.9,54.5,20.2,103.23,10.6,18.5,29.6,9.9,17.3,16.3,34.6,51.2,85.4,60.5,49.6,31.6,37.6,69.19999999999999,0.0,55.60000000000001,63.1,43.4,44.1,22.2,18.2,31.6,0.0,20.7,3.4,0.94,1.4,2.39,1.28,29.599999999999998,0.949,40.9,13.700000000000001,12.8,12.8,90.7,3.2,1.115,45.800000000000004,1850.0,14.7,1.4,1.13,90.8,17.599999999999998,1.419,0.5,0.63,0.9,0.73,0.6,0.97,78.0,64.8,41.3,39.300000000000004,44.4,37.0,38.6,22.2,50.0,0.0,15.1,18.5,7.1
107,Ryan Arcidiacono,1627853.0,1610612741.0,CHI,58.0,16.0,75.0,195.0,Guard,14.5,1.8,9.5,5.4,55.6,11.8,103.53,6.1,5.6,64.5,10.7,9.3,18.7,20.6,57.1,89.1,77.0,41.4,39.4,32.9,62.5,61.5,61.1,55.400000000000006,28.7,44.7,38.2,33.300000000000004,35.6,0.0,35.8,1.5,1.03,1.2,3.0,2.59,47.099999999999994,0.826,41.099999999999994,10.6,18.2,5.3,80.0,4.2,1.0,44.0,459.99999999999994,9.3,1.0,1.18,38.2,9.5,1.023,0.4,0.6,0.0,0.0,0.0,0.0,71.8,63.4,40.400000000000006,46.9,38.2,38.7,35.6,33.300000000000004,100.0,0.0,14.000000000000002,3.8,6.5
108,Semi Ojeleye,1628400.0,1610612738.0,BOS,69.0,14.6,78.0,240.0,Forward,5.0,2.5,9.2,5.8,54.7,8.3,100.96,5.1,5.2,54.5,9.1,15.6,14.3,24.7,69.6,96.4,84.3,37.1,31.900000000000002,28.000000000000004,61.5,0.0,76.5,60.699999999999996,38.0,28.299999999999997,40.0,40.0,25.900000000000002,0.0,40.0,1.5,1.05,0.5,1.59,0.59,21.4,0.717,33.300000000000004,11.799999999999999,14.499999999999998,9.2,59.9,4.0,0.903,36.0,710.0,12.9,0.5,1.17,80.2,27.0,1.303,0.5,1.2,0.0,0.0,0.0,0.0,64.8,57.599999999999994,41.5,32.800000000000004,41.099999999999994,39.900000000000006,36.0,25.0,0.0,0.0,14.099999999999998,4.5,5.5
109,Seth Curry,203552.0,1610612742.0,DAL,64.0,24.6,74.0,185.0,Guard,12.3,1.8,7.3,4.5,63.1,17.4,100.76,9.3,14.3,54.6,13.9,11.1,15.5,20.1,41.6,80.4,61.5,40.0,33.300000000000004,0.0,68.30000000000001,50.0,60.699999999999996,68.89999999999999,40.0,33.300000000000004,0.0,0.0,0.0,0.0,0.0,3.4,1.27,1.6,3.15,2.49,26.200000000000003,0.712,36.3,11.0,21.2,11.0,43.5,11.600000000000001,0.824,42.9,470.0,8.0,1.6,1.3,54.800000000000004,19.1,1.154,0.5,1.15,0.0,0.0,0.0,0.0,51.6,60.9,36.5,44.0,39.7,34.0,33.1,57.099999999999994,0.0,0.0,20.5,5.4,6.0
110,Wesley Matthews,202083.0,1610612749.0,MIL,67.0,24.4,76.0,220.0,Guard,7.0,0.8,7.6,4.4,55.8,12.3,107.24,5.5,3.7,64.2,17.8,10.7,10.4,21.4,66.7,93.9,83.8,46.2,25.0,35.3,70.3,0.0,62.5,58.8,47.4,16.7,29.4,27.3,19.400000000000002,0.0,28.599999999999998,2.1,1.29,0.7,1.95,1.23,10.0,1.02,48.8,11.0,10.0,11.0,31.7,6.3,0.778,37.5,490.00000000000006,10.299999999999999,1.7,0.92,58.099999999999994,19.1,1.132,0.4,0.53,0.0,0.0,0.0,0.0,54.6,59.599999999999994,42.199999999999996,39.7,42.1,43.4,36.8,27.3,0.0,0.0,14.7,4.9,14.899999999999999
111,Al Horford,201143.0,1610612755.0,PHI,67.0,30.2,81.0,240.0,Center-Forward,17.7,4.9,16.1,10.6,51.9,17.5,100.71,11.1,20.6,35.9,9.0,6.8,11.3,36.6,59.3,98.6,70.9,56.699999999999996,45.1,44.4,63.6,45.7,53.800000000000004,70.1,48.0,45.9,44.4,0.0,21.7,0.0,36.4,2.6,0.86,1.7,1.81,0.65,11.1,0.911,40.9,11.600000000000001,12.5,11.600000000000001,72.39999999999999,5.8999999999999995,0.964,38.5,1520.0,17.599999999999998,2.1,1.17,44.2,5.5,1.051,0.9,1.0,2.8,0.91,0.6,1.1,73.7,62.2,37.3,43.7,43.8,44.7,34.9,21.099999999999998,20.0,0.0,15.5,29.799999999999997,10.8
112,Alex Caruso,1627936.0,1610612747.0,LAL,64.0,18.4,76.0,186.0,Guard,12.3,1.2,8.4,5.0,54.0,13.4,102.5,7.0,3.7,37.4,22.0,18.7,18.7,40.3,56.7,88.2,68.1,47.099999999999994,25.900000000000002,27.3,33.300000000000004,0.0,0.0,56.3,50.0,33.300000000000004,50.0,50.0,9.5,0.0,50.0,1.7,0.98,1.7,3.37,2.73,32.7,0.797,40.400000000000006,3.1,11.700000000000001,1.6,72.39999999999999,3.8,0.964,44.4,290.0,9.2,1.1,1.26,12.0,11.0,0.774,0.5,0.52,0.0,0.0,0.0,0.0,67.30000000000001,60.3,48.6,33.300000000000004,44.7,35.199999999999996,38.1,0.0,0.0,0.0,31.4,12.1,9.8
113,Austin Rivers,203085.0,1610612745.0,HOU,68.0,23.4,76.0,200.0,Guard,8.9,1.4,8.2,4.7,52.6,14.8,105.74,5.8,0.9,47.4,10.4,12.5,15.6,39.2,31.8,73.1,50.0,0.0,50.0,0.0,85.7,0.0,0.0,77.8,0.0,0.0,0.0,50.0,50.0,0.0,50.0,2.9,0.99,1.6,3.19,2.6,19.400000000000002,0.806,40.2,3.2,15.299999999999999,1.6,53.800000000000004,3.1,0.871,37.5,40.0,4.1000000000000005,1.6,1.19,50.5,23.1,1.083,0.5,1.08,0.0,0.0,0.0,0.0,62.5,61.5,30.0,40.0,36.4,29.2,51.7,0.0,0.0,0.0,17.299999999999997,6.7,5.8999999999999995
114,Cody Zeller,203469.0,1610612766.0,CHA,58.0,23.1,83.0,240.0,Forward-Center,10.7,11.2,19.4,15.1,56.3,20.1,97.99,11.1,1.1,9.3,9.3,18.1,15.0,71.5,68.8,94.1,70.8,50.0,39.4,31.3,61.8,44.1,42.699999999999996,69.1,44.5,36.7,0.0,100.0,18.2,0.0,50.0,1.7,0.92,1.3,1.64,0.63,24.2,0.651,34.699999999999996,4.7,17.4,4.7,8.1,4.2,0.542,26.8,490.00000000000006,5.6000000000000005,0.9,1.21,32.2,19.7,1.0,0.7,0.81,0.6,0.9,1.8,1.04,53.6,61.5,40.6,37.0,38.6,33.800000000000004,36.199999999999996,33.300000000000004,0.0,0.0,22.1,26.6,3.5999999999999996
115,Dejounte Murray,1627749.0,1610612759.0,SAS,66.0,25.6,76.0,180.0,Guard,23.2,4.7,18.6,11.6,54.8,19.8,100.89,11.5,21.6,16.2,20.7,13.1,16.2,49.0,32.8,96.4,41.2,44.1,40.8,43.7,53.300000000000004,0.0,64.3,55.2,39.6,46.300000000000004,36.4,42.1,36.199999999999996,0.0,39.0,2.7,0.97,4.1,4.43,3.97,33.4,0.699,38.0,2.1999999999999997,18.4,2.1999999999999997,92.7,4.7,1.136,43.8,1040.0,11.5,2.6,1.18,87.5,2.3,1.357,0.5,0.96,0.0,0.0,0.6,1.03,70.7,61.6,41.4,47.599999999999994,45.0,42.3,37.2,9.1,0.0,0.0,40.699999999999996,9.0,4.1000000000000005
116,Eric Paschall,1629672.0,1610612744.0,GSW,60.0,27.6,78.0,255.0,Forward,10.6,4.8,12.2,8.4,55.4,20.8,101.94,9.1,12.4,13.1,9.7,19.2,15.3,55.3,54.5,96.6,59.3,47.199999999999996,34.1,31.3,57.49999999999999,0.0,58.3,62.2,29.5,31.3,50.0,57.099999999999994,33.7,0.0,53.800000000000004,3.4,0.89,1.7,2.25,1.22,45.7,0.879,42.5,7.5,11.200000000000001,4.7,38.9,9.3,0.806,28.000000000000004,919.9999999999999,11.600000000000001,2.1,1.07,8.799999999999999,5.8999999999999995,0.717,0.4,0.91,1.3,1.08,0.8,1.03,67.10000000000001,60.8,42.8,40.699999999999996,42.4,37.2,34.0,50.0,0.0,0.0,11.600000000000001,9.1,3.8
117,Ersan Ilyasova,101141.0,1610612749.0,MIL,63.0,15.7,81.0,235.0,Forward,7.4,6.4,20.8,13.9,59.1,17.1,107.49,11.3,6.5,35.6,14.6,16.4,14.3,41.5,78.7,97.7,85.0,49.9,44.5,40.400000000000006,71.39999999999999,0.0,100.0,62.8,36.7,48.1,52.0,50.0,37.4,0.0,51.4,1.7,0.98,0.6,1.41,0.43,18.8,0.816,48.199999999999996,4.3999999999999995,23.7,4.3999999999999995,50.2,6.3,0.857,47.599999999999994,1010.0,10.7,1.1,1.38,45.4,3.5000000000000004,1.057,0.4,1.05,0.2,0.36,0.8,0.95,66.7,58.8,39.800000000000004,39.300000000000004,40.699999999999996,32.0,32.9,32.0,0.0,0.0,15.7,15.6,6.4
118,Glenn Robinson III,203922.0,1610612755.0,PHI,62.0,28.8,78.0,222.0,Forward,8.6,4.1,10.2,7.1,57.6,16.3,101.7,8.5,18.0,32.1,21.4,9.9,22.0,40.0,77.7,91.2,81.3,36.8,28.599999999999998,24.5,70.0,0.0,0.0,50.7,28.1,18.0,20.0,50.0,28.9,0.0,33.300000000000004,3.0,1.0,1.4,1.89,1.11,10.6,1.152,55.900000000000006,3.8,11.4,3.8,36.1,4.3,0.8,40.0,790.0,11.799999999999999,2.8,1.25,45.4,12.7,1.057,0.7,0.97,0.0,0.0,0.5,1.44,71.1,61.9,40.300000000000004,50.0,42.1,39.5,37.8,14.299999999999999,0.0,0.0,17.599999999999998,9.2,3.9
119,JJ Redick,200755.0,1610612740.0,NOP,60.0,26.3,75.0,200.0,Guard,10.3,0.6,8.4,4.6,64.5,19.5,106.2,9.9,15.3,58.2,16.5,18.4,13.4,8.2,80.4,92.8,88.1,42.6,36.5,44.4,50.0,0.0,100.0,50.0,50.8,51.7,50.0,38.5,32.5,0.0,42.9,2.1,1.08,1.1,1.9,1.15,46.2,0.826,38.0,7.3,10.100000000000001,4.6,94.69999999999999,7.9,1.15,57.9,330.0,12.0,2.3,1.33,39.2,5.3,1.029,0.3,0.93,0.0,0.0,0.0,0.0,72.89999999999999,61.3,38.1,36.4,25.900000000000002,33.5,34.599999999999994,33.300000000000004,0.0,0.0,7.9,6.2,4.8
120,Jayson Tatum,1628369.0,1610612738.0,BOS,66.0,34.3,80.0,210.0,Forward-Guard,13.6,2.8,16.4,9.6,55.4,27.4,100.9,13.7,10.9,35.1,12.6,15.9,15.6,38.2,46.2,60.3,50.7,44.7,18.4,23.1,63.6,0.0,66.7,57.699999999999996,10.0,20.0,20.0,11.1,22.2,0.0,14.299999999999999,3.3,0.99,3.2,2.85,1.94,14.299999999999999,0.819,38.2,11.4,16.2,10.5,63.6,3.9,0.92,36.8,120.0,8.5,3.3,1.17,16.8,6.7,0.857,0.5,0.96,1.3,0.94,0.7,0.77,61.1,61.0,38.800000000000004,44.0,31.7,39.1,27.900000000000002,100.0,0.0,0.0,23.0,20.9,15.6
121,LaMarcus Aldridge,200746.0,1610612759.0,SAS,53.0,33.1,83.0,250.0,Center-Forward,11.6,5.9,16.5,11.3,58.0,23.4,99.77,12.3,31.9,18.6,3.8,15.8,9.9,33.8,55.9,94.9,62.1,50.0,37.2,28.599999999999998,67.60000000000001,64.7,51.9,70.6,38.5,35.699999999999996,25.0,0.0,0.0,0.0,20.0,2.9,1.08,1.8,1.92,0.75,13.600000000000001,0.649,30.0,10.7,14.499999999999998,10.7,27.500000000000004,6.2,0.767,34.5,420.0,5.7,0.7,1.46,93.5,45.300000000000004,1.458,1.0,1.06,5.8,0.97,1.5,1.26,62.3,58.699999999999996,40.5,43.2,43.2,38.1,34.5,16.7,0.0,25.0,15.0,52.400000000000006,5.2
122,Marquese Chriss,1627737.0,1610612744.0,GSW,59.0,20.3,81.0,240.0,Forward,14.1,9.0,19.8,14.1,59.6,18.4,103.17,12.1,2.3,5.5,14.1,22.1,14.1,70.0,73.2,100.0,74.5,45.800000000000004,27.700000000000003,15.0,75.4,0.0,69.6,74.2,29.2,28.599999999999998,32.5,16.2,36.0,0.0,24.7,0.7,0.72,1.0,1.47,0.48,25.7,0.901,50.0,14.299999999999999,22.0,14.299999999999999,21.9,12.5,0.719,32.1,290.0,7.3999999999999995,1.0,1.4,56.699999999999996,8.9,1.129,0.5,1.09,0.7,1.0,1.5,0.85,69.89999999999999,63.6,42.9,37.1,39.5,34.699999999999996,35.0,36.4,33.300000000000004,14.299999999999999,20.5,50.4,3.4000000000000004
123,Mo Bamba,1628964.0,1610612753.0,ORL,62.0,14.2,84.0,231.0,Center,7.3,8.7,21.3,14.8,54.4,16.1,99.18,11.7,4.4,31.9,6.6,8.1,18.7,55.7,57.3,100.0,68.5,56.39999999999999,43.1,38.0,53.800000000000004,0.0,57.099999999999994,63.5,45.4,44.9,37.5,54.50000000000001,28.299999999999997,0.0,47.4,0.9,0.8,0.5,1.52,0.39,32.0,0.953,49.3,2.4,14.099999999999998,2.4,27.1,14.899999999999999,0.759,34.599999999999994,1500.0,15.5,0.3,1.38,71.39999999999999,19.0,1.214,0.5,0.54,0.3,0.4,1.2,1.19,71.0,64.3,37.0,47.8,39.900000000000006,41.9,35.4,42.1,0.0,0.0,15.1,58.099999999999994,6.5
124,Pat Connaughton,1626192.0,1610612749.0,MIL,67.0,18.6,77.0,209.0,Guard,11.2,4.3,15.9,10.4,54.9,11.4,107.05,8.9,0.0,42.5,15.0,7.3,20.2,50.2,72.6,94.3,80.4,66.7,40.699999999999996,55.60000000000001,100.0,0.0,100.0,66.7,100.0,45.5,33.300000000000004,20.0,50.0,0.0,25.0,1.8,0.97,1.0,2.33,1.54,37.0,0.862,38.1,17.0,18.099999999999998,14.899999999999999,11.799999999999999,5.2,0.611,33.300000000000004,300.0,9.0,0.8,1.18,52.5,7.9,1.097,0.0,0.0,0.0,0.0,0.3,1.71,83.3,67.9,54.50000000000001,21.099999999999998,37.5,41.0,26.8,33.300000000000004,0.0,0.0,15.5,21.7,8.3
125,Robin Lopez,201577.0,1610612749.0,MIL,66.0,14.5,84.0,281.0,Center,6.8,6.0,10.0,8.1,55.1,16.0,106.55,7.0,3.1,23.2,6.2,8.9,11.6,64.9,55.7,100.0,63.9,51.0,38.2,40.0,68.2,100.0,70.0,58.8,51.4,34.4,27.3,53.800000000000004,37.1,0.0,37.1,1.3,0.77,0.4,1.71,0.59,30.4,0.614,33.7,7.6,19.7,6.800000000000001,10.5,6.1,0.595,16.0,890.0,11.799999999999999,0.4,1.19,40.1,12.5,1.031,0.4,0.9,1.1,1.05,0.6,0.87,66.5,61.6,39.5,35.199999999999996,42.3,42.3,35.199999999999996,29.4,16.7,0.0,7.5,45.0,6.800000000000001
126,Tony Snell,203503.0,1610612765.0,DET,59.0,27.8,78.0,213.0,Guard,9.7,0.5,6.0,3.2,60.6,11.1,98.9,6.0,5.9,67.2,12.6,5.2,17.7,21.7,64.3,90.1,80.3,51.4,40.2,42.0,69.5,56.8,61.4,69.0,46.800000000000004,46.1,47.8,25.0,35.199999999999996,0.0,38.5,3.0,1.08,1.1,1.92,0.81,33.300000000000004,0.825,41.6,7.199999999999999,15.5,5.2,96.8,3.0,1.313,53.800000000000004,1720.0,24.8,1.2,1.31,15.7,7.5,0.846,0.3,1.25,0.0,0.0,0.0,0.0,66.10000000000001,61.199999999999996,44.2,43.8,42.1,39.6,36.199999999999996,38.1,0.0,0.0,12.6,10.299999999999999,6.1
127,Trae Young,1629027.0,1610612737.0,ATL,60.0,35.3,73.0,180.0,Guard,42.0,1.6,10.3,6.0,59.9,34.0,105.24,16.3,5.1,35.0,10.3,26.4,13.8,33.4,16.4,28.3,20.9,12.5,30.0,9.1,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,28.599999999999998,0.0,0.0,1.6,1.41,9.1,6.29,6.07,13.8,0.849,37.8,3.2,8.6,3.2,96.0,3.8,1.235,57.099999999999994,340.0,12.1,5.1,1.07,93.10000000000001,23.400000000000002,1.455,0.9,0.8,0.0,0.0,0.2,1.0,100.0,62.7,53.800000000000004,40.0,50.0,33.300000000000004,23.5,0.0,0.0,0.0,19.8,3.5999999999999996,2.9000000000000004
128,Tristan Thompson,202684.0,1610612739.0,CLE,57.0,30.2,81.0,254.0,Center-Forward,10.2,12.8,20.5,16.5,54.3,17.9,99.25,10.7,3.0,3.5,5.3,15.2,11.2,78.3,60.6,57.1,60.5,0.0,0.0,0.0,60.0,100.0,0.0,33.300000000000004,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.64,1.8,2.01,0.75,43.7,0.782,37.2,11.899999999999999,14.899999999999999,10.9,90.3,2.6,1.105,50.0,200.0,16.7,0.8,1.38,40.6,10.8,1.032,1.2,0.79,1.4,0.76,2.5,0.99,100.0,75.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,15.0,51.5,3.2
129,Troy Brown Jr.,1628972.0,1610612764.0,WAS,69.0,25.8,78.0,215.0,Guard-Forward,12.4,4.0,17.3,10.4,53.7,16.6,104.67,10.1,15.7,23.5,12.7,14.7,17.8,46.2,52.5,97.5,61.6,34.599999999999994,42.0,35.699999999999996,50.0,0.0,80.0,49.0,32.2,35.199999999999996,41.199999999999996,43.5,37.0,0.0,42.5,2.7,1.1,1.7,2.77,2.19,25.1,0.757,36.4,7.8,9.700000000000001,7.8,70.39999999999999,2.3,0.955,35.3,1900.0,13.700000000000001,2.5,0.97,22.1,20.599999999999998,0.914,0.5,1.31,0.0,0.0,0.5,1.12,68.30000000000001,62.8,45.0,43.4,43.4,36.3,36.6,16.7,40.0,5.3,27.900000000000002,4.5,3.9
130,Willie Cauley-Stein,1626161.0,1610612742.0,DAL,54.0,20.3,84.0,240.0,Center,9.8,7.2,19.8,13.4,58.5,14.6,100.47,11.1,5.9,0.0,11.5,10.5,18.0,83.6,78.4,0.0,78.4,33.300000000000004,50.0,0.0,40.0,0.0,0.0,27.3,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5,0.52,0.9,1.68,0.62,35.5,0.647,36.4,6.7,20.200000000000003,6.7,55.50000000000001,5.6000000000000005,0.875,45.0,130.0,10.7,0.7,1.67,73.3,2.6,1.24,0.7,0.68,0.8,0.82,0.8,1.13,50.0,64.7,66.7,20.0,0.0,28.599999999999998,30.0,0.0,0.0,0.0,24.9,46.9,6.7
131,Aaron Gordon,203932.0,1610612753.0,ORL,62.0,32.5,80.0,235.0,Forward,14.9,5.0,17.2,10.9,50.4,20.7,98.86,9.8,8.4,25.9,16.7,16.1,18.0,49.6,50.7,88.3,59.4,0.0,23.1,50.0,57.699999999999996,53.800000000000004,63.6,66.3,29.7,42.1,20.0,13.3,21.8,0.0,15.0,2.6,0.84,2.5,2.99,2.02,35.699999999999996,0.95,51.7,11.3,18.8,10.0,55.50000000000001,4.8,0.875,50.0,130.0,3.2,2.5,1.19,75.3,2.1999999999999997,1.25,0.6,0.79,2.1,0.89,1.2,1.03,50.0,59.9,40.699999999999996,35.0,44.7,38.0,39.5,33.300000000000004,0.0,0.0,16.2,18.3,8.799999999999999
132,Aaron Holiday,1628988.0,1610612754.0,IND,66.0,24.5,72.0,185.0,Guard,20.5,1.6,7.7,4.7,52.5,20.0,99.77,8.2,10.4,46.0,11.4,9.7,13.5,34.0,26.2,81.1,48.6,41.5,38.0,39.0,54.800000000000004,40.0,52.2,52.1,39.4,40.5,29.2,40.0,36.0,0.0,34.699999999999996,2.6,1.32,3.0,4.56,4.43,36.9,1.027,43.1,16.400000000000002,8.200000000000001,15.1,95.1,3.4000000000000004,1.176,53.300000000000004,540.0,10.8,1.9,0.82,32.2,3.3000000000000003,1.0,0.4,0.67,0.0,0.0,0.0,0.0,63.9,60.0,40.5,43.9,41.9,39.300000000000004,33.1,16.7,25.0,33.300000000000004,22.8,9.0,8.6
133,Alec Burks,202692.0,1610612755.0,PHI,66.0,26.6,78.0,214.0,Guard,18.1,2.4,13.1,7.6,55.1,22.9,102.23,11.4,12.6,32.5,10.8,25.9,15.0,28.9,47.8,72.6,56.3,57.599999999999994,36.7,32.4,0.0,0.0,0.0,52.900000000000006,66.7,40.0,33.300000000000004,33.300000000000004,31.6,0.0,33.300000000000004,2.1,1.02,3.1,3.35,2.67,13.3,1.014,39.0,11.0,9.6,9.6,69.6,4.0,0.952,50.0,560.0,13.600000000000001,2.0,1.16,96.8,18.0,1.611,0.3,0.8,0.6,0.93,0.3,1.14,71.39999999999999,62.4,60.0,45.5,21.4,32.1,34.300000000000004,33.300000000000004,0.0,0.0,21.8,9.9,7.199999999999999
134,Donte DiVincenzo,1628978.0,1610612749.0,MIL,66.0,23.0,76.0,203.0,Guard,12.5,4.1,13.6,9.2,56.0,16.5,106.78,10.4,5.8,41.2,20.2,10.0,19.1,43.0,53.6,79.0,62.8,58.699999999999996,39.0,43.5,62.3,50.0,58.4,64.8,41.0,44.6,50.0,0.0,26.200000000000003,0.0,16.7,1.9,0.92,1.7,2.63,1.9,20.4,0.851,45.6,10.299999999999999,14.899999999999999,6.9,53.300000000000004,4.7,0.87,40.9,1260.0,8.5,2.4,1.04,12.9,9.3,0.784,0.2,0.73,0.0,0.0,0.5,0.91,59.599999999999994,59.8,40.9,42.8,39.900000000000006,33.300000000000004,34.9,46.7,50.0,0.0,33.1,10.9,13.200000000000001
